"","COUNTRY.PP.2w$alert","ICEWS_X1","ICEWS_X2","ICEWS_X3","ICEWS_X4","ICEWS_X5","ICEWS_X6","ICEWS_X7","ICEWS_X8","ICEWS_X9","ICEWS_X10","ICEWS_X11","ICEWS_X12","ICEWS_X13","ICEWS_X14","ICEWS_X15","ICEWS_X16","ICEWS_X17","ICEWS_X18","ICEWS_X19","ICEWS_X20","AvgInt_X1","AvgInt_X2","AvgInt_X3","AvgInt_X4","AvgInt_X5","AvgInt_X6","AvgInt_X7","AvgInt_X8","AvgInt_X9","AvgInt_X10","AvgInt_X11","AvgInt_X12","AvgInt_X13","AvgInt_X14","AvgInt_X15","AvgInt_X16","AvgInt_X17","AvgInt_X18","AvgInt_X19","AvgInt_X20","GDELT_X1","GDELT_X2","GDELT_X3","GDELT_X4","GDELT_X5","GDELT_X6","GDELT_X7","GDELT_X8","GDELT_X9","GDELT_X10","GDELT_X11","GDELT_X12","GDELT_X13","GDELT_X14","GDELT_X15","GDELT_X16","GDELT_X17","GDELT_X18","GDELT_X19","GDELT_X20","X1GoldsteinScale","X2GoldsteinScale","X3GoldsteinScale","X4GoldsteinScale","X5GoldsteinScale","X6GoldsteinScale","X7GoldsteinScale","X8GoldsteinScale","X9GoldsteinScale","X10GoldsteinScale","X11GoldsteinScale","X12GoldsteinScale","X13GoldsteinScale","X14GoldsteinScale","X15GoldsteinScale","X16GoldsteinScale","X17GoldsteinScale","X18GoldsteinScale","X19GoldsteinScale","X20GoldsteinScale","X1AverageTone","X2AverageTone","X3AverageTone","X4AverageTone","X5AverageTone","X6AverageTone","X7AverageTone","X8AverageTone","X9AverageTone","X10AverageTone","X11AverageTone","X12AverageTone","X13AverageTone","X14AverageTone","X15AverageTone","X16AverageTone","X17AverageTone","X18AverageTone","X19AverageTone","X20AverageTone"
"Argentina",5,49,5,14,17,5,0,2,2,2,0,8,1,1,6,0,0,12,13,2,0,-0.0244897959183673,3.24,4.07142857142857,1.15882352941176,3.42,0,7.4,7.5,-2,0,-2,-4,-4.4,-7,0,0,-5.68333333333333,-9.03846153846154,-10,0,822,410,221,1541,327,186,169,348,158,21,274,19,49,83,19,8,125,12,761,7,4388.46472019465,1678.61951219512,265.800904977376,8129.01492537313,2389.82568807339,479.784946236559,683.958579881657,1379.33045977011,1.9873417721519,20.4285714285714,2,9.21052631578947,53.7959183673469,1.96385542168675,1.68421052631579,1.25,294.776,98.5,225.835742444152,1,7233.26399026764,5742.02682926829,5593.61085972851,7296.57300454251,9091.99388379205,5193.30107526882,3023.85798816568,4937.00287356322,2435.76582278481,1663.61904761905,4350.81386861314,1519.26315789474,524.959183673469,1449.12048192771,617.473684210526,962,2918.824,2322.83333333333,5437.92247043364,1
"Brazil",7,38,3,3,19,9,0,1,2,1,4,12,1,0,6,1,1,6,4,8,0,0.0315789473684211,1.9,4,1.63157894736842,4.47777777777778,0,7.4,7,-2,-5,-2,-4,0,-7.33333333333333,-7.2,-8,-6.33333333333333,-9,-10,0,555,329,336,1604,401,184,257,252,221,95,273,143,79,10,8,26,391,25,635,7,4707.82162162162,1329.30395136778,1998.78571428571,8449.56483790524,3306.93765586035,786.75,877.661478599222,804.261904761905,2,24.7473684210526,2,19.4335664335664,151.708860759494,1.6,1.25,110.076923076923,285.997442455243,22.04,155.143307086614,1,4602.17837837838,5416.48632218845,3110.2380952381,3744.91521197007,4409.39650872818,2390.73369565217,2968.78210116731,4092.19047619048,3152.86425339366,1508.23157894737,5923.49450549451,1101.08391608392,1560.54430379747,797.6,369,1667,2902.61125319693,1482.84,2858.59212598425,1
"Chile",0,8,1,0,4,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,-5,-2,0,0,-7.5,0,0,-7,0,0,0,561,381,485,1179,472,134,68,111,68,33,294,166,34,58,7,7,258,89,675,7,3961.2174688057,919.619422572178,585.131958762887,9185.77014418999,5210.73728813559,654.708955223881,959.852941176471,886.693693693694,1.95588235294118,22.8181818181818,2,118.506024096386,28.6470588235294,1.93103448275862,1,1,1.98837209302326,186.213483146067,277.371851851852,1,7116.13547237077,4677.68503937008,4863.78350515464,5090.98812553011,6888.63559322034,3441.76865671642,2257.02941176471,5085.27927927928,1884.77941176471,1094.39393939394,3930.98639455782,2574.47590361446,592.117647058824,1234.72413793103,1,1,3573.77131782946,1572.12359550562,5058.45481481482,1
"Colombia",2,34,13,1,6,6,0,1,2,8,2,4,5,0,2,0,0,7,6,4,0,-0.0235294117647059,3.06153846153846,4,1,4.93333333333333,0,7.4,7,-2,-5,-2,-4,0,-7.5,0,0,-5,-9,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,549,10,51,1084,313,20,11,40,47,19,53,20,21,8,7,8,124,7,7,7,2064.34061930783,440.8,1.88235294117647,6867.81734317343,219.97124600639,1.7,832.454545454545,84.9,1.91489361702128,17.4210526315789,1.90566037735849,10,1.76190476190476,1.25,1,69.25,1.9758064516129,1,1,1,6575.30236794171,3524,1148.05882352941,11046.5728782288,5547.76677316294,140.3,3436.09090909091,2987.8,1716.97872340426,4995.05263157895,2202.66037735849,1847.3,1231.66666666667,426,1,169,5571.96774193548,1,1,1
"El Salvador",2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,478,239,133,1391,255,9,27,96,22,30,66,22,8,8,7,7,166,8,248,7,3861.82426778243,727.866108786611,56.2105263157895,9488.81739755571,1.9921568627451,1.44444444444444,151.666666666667,1047.01041666667,1.77272727272727,21,1.93939393939394,11.3636363636364,115,1.25,1,1,1.98192771084337,8.25,1.99193548387097,1,10897.7761506276,2252.28870292887,3965.14285714286,5746.66211358735,5407.90980392157,2380.55555555556,4461.88888888889,1986.08333333333,1591.27272727273,729.233333333333,8628.78787878788,2155.54545454545,320.75,457.75,1,1,3466.80120481928,264.75,2434.08870967742,1
"Mexico",17,15,7,22,85,11,3,3,0,4,0,3,0,0,0,0,0,59,11,12,0,0,2.52857142857143,4.28636363636364,2.34823529411765,4.23636363636364,6.6,7.4,0,-2,0,-2,0,0,0,0,0,-5,-9.09090909090909,-9.95833333333333,0,724,467,558,1318,589,109,197,293,182,195,288,163,216,125,86,210,365,188,641,7,3773.96132596685,1226.8800856531,1109.37275985663,7037.99013657056,999.016977928693,901.798165137615,641.421319796954,539.102389078498,2,25,2,24.0674846625767,144.166666666667,37.064,1.95348837209302,96.3095238095238,264.627397260274,203.154255319149,744.879875195008,1,5234.2044198895,3486.31691648822,2784.48207885305,6572.8808801214,4691.57894736842,5096.66972477064,2613.64467005076,3110.44368600683,2966.86813186813,1212.26666666667,5783.33680555556,2107.9509202454,1412.86111111111,1226.088,343.279069767442,957.209523809524,1896.67671232877,1567.72872340426,2536.6255850234,1
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,7,64,684,7,7,8,6,20,6,7,6,6,6,6,6,6,6,158,6,3314.39664804469,210.428571428571,1.921875,4993.50877192982,603.571428571429,393,507,1,1.75,1,1.28571428571429,1,1,1,1,1,1,1,1.96835443037975,1,2562.54748603352,5995.57142857143,3925.421875,10576.7061403509,576.142857142857,724.142857142857,2136.75,1,1978.75,1,133.571428571429,1,1,1,1,1,1,1,987.753164556962,1
"Uruguay",2,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,0,-2,0,0,0,0,0,-5,0,0,0,523,222,9,1459,172,9,8,167,7,19,30,7,7,7,7,7,8,7,80,7,26.4837476099426,730.698198198198,1.44444444444444,9746.25565455792,370.802325581395,306.111111111111,254,150.353293413174,1,17.4210526315789,1.8,1,1,1,1,1,1.25,1,1.9375,1,11789.4435946463,9780.47297297297,1505.88888888889,13143.8224811515,8622.97674418605,361.666666666667,1828.75,5275.52095808383,1,2019.42105263158,4444.2,1,1,1,1,1,2269.5,1,2978.9,1
"Venezuela",10,90,44,17,15,19,0,0,28,4,8,78,3,16,78,1,9,55,27,31,1,-0.153333333333333,2.56136363636364,4.17647058823529,1.9,3.46315789473684,0,0,8.71428571428571,-2,-5,-2,-4.33333333333333,-4.8375,-6.83333333333333,-7.2,-4,-5.65454545454545,-9.03703703703704,-9.98387096774194,-10,987,390,393,1779,466,246,267,375,244,90,439,215,119,326,19,70,506,265,798,7,3246.87537993921,1230.82307692308,1738.85750636132,11937.7509836987,1244.06008583691,459.365853658537,797.026217228464,338.090666666667,1.99590163934426,25,2,50.9674418604651,318.428571428571,31.1717791411043,1.68421052631579,15.0428571428571,751.482213438735,239.022641509434,274.489974937343,1,5064.80445795339,4760.77692307692,4286.31806615776,3451.60539629005,8277.04935622318,2202.35772357724,3303.22097378277,2762.54666666667,3346.55327868852,1228.7,3660.53530751708,2669.29302325581,985.932773109244,1170.98466257669,55.7368421052632,778.514285714286,4898.07509881423,2089.08301886792,2955.08395989975,1
